words,phrase1,phrase2,sent1,sent2,quest1,quest2,inf1,inf2,miss_sent1,miss_sent2
год,новый год,високосный год,Прошлый год был тяжелым,Скоро будет новый год ,Что было тяжелого в прошлом?,Что скоро будет нового?,Прошлый год быть тяжелый,None,Прошлый ___ был тяжелым,Скоро будет новый ___ 
дом,большой дом,старый дом,Брат зашел в дом,На даче построили большой дом,Брат зашел куда?,Что построили на даче?,Брат зайти в дом,На даче построить большой дом,Брат зашел в ___,На даче построили большой ___
час,поздний час,тихий час,Мама пришла в час дня,Колокол пробил час,Сколько было времени когда пришла мама?,Что пробили колокол?,Мама прийти в час день,None,Мама пришла в ___ дня,В поздний ___ улицы пусты
тип,незнакомый тип,странный тип,Странный тип ходит по улице,К девочке подошел незнакомый тип,Кто ходит по улице?,Кто подошёл к девочке?,None,К девочка подойти незнакомый тип,Странный ___ ходит по улице,К девочке подошел незнакомый ___
чай,черный чай,зеленый чай,Бабушка любит чай,Черный чай полезен для здоровья,Что любит бабушка?,Что полезно для здоровья?,None,None,Бабушка любит ___,Черный ___ полезен для здоровья
вид,совершенный вид,вид на море,Из окна красивый вид,Совершенный вид глагола легко определить,Что красивого из окна?,Что легко определить у глагола?,None,None,Из окна красивый ___,Совершенный ___ глагола легко определить
муж,заботливый муж,красивый муж,Муж уехал на дачу,У подруги заботливый муж,Кто уехал на дачу?,Кто заботливый у подруги?,Муж уехал на дача,None,___ уехал на дачу,У подруги заботливый ___
сын,младший сын,мамин сын,Вчера родился сын,У подруги младший сын пошел в школу,Кто вчера родился?,Кто пошел в школу?,Вчера родиться сын,У подруга младший сын пойти в школа,Вчера родился ___,У подруги младший ___ пошел в школу
сон,страшный сон,интересный сон,Сон испугал ребенка,Мне приснился страшный сон,Что испугало ребенка?,Что страшного приснилось?,Сон испугать ребенок,Мне присниться страшный сон,___ испугал ребенка,Мне приснился страшный ___
пол,мокрый пол,деревянный пол,В доме скользкий пол,После уборки в комнате мокрый пол,Что в доме скльзского?,Что было мокрое после уборки?,None,None,В доме скользкий ___,После уборки в комнате мокрый ___
мир,окружающий мир,жестокий мир,Я объездил весь мир,Окружающий мир - полезный предмет,Что я объездил?,Какой предмет полезен?,Я объездить весь мир,None,Я объездил весь ___,Окружающий ___ -- полезный предмет
лес,густой лес,сосновый лес,Бабушка пошла в лес,Деревню окружал густой лес,Куда пошла бабушка?,Что окружало деревню?,Бабушка пойти в лес,Деревня окружать густой лес,Бабушка пошла в ___,Деревню окружал густой ___
зал,полный зал,актовый зал,Семья пришла в концертный зал,На концерте полный зал зрителей,Куда пришла семья?,Что полное зрителей?,Семья прийти в концертный зал,На концерт полный зал зрители,Семья пришла в концертный ___,На концерте полный ___ зрителей
